Sample	Strain	Coverage	MeanDepth
PMLBSc001	NC_002978.6	97.8016	18.7348
PMLBSc001	NZ_CM003641.1	2.42325	0.267347
PMLBSc002	NC_002978.6	98.4773	64.9567
PMLBSc002	NZ_CM003641.1	91.1659	16.8124
PMLBSc003	NC_002978.6	18.3639	2.46878
PMLBSc003	NZ_CM003641.1	88.5507	12.398
PMLBSc004	NC_002978.6	12.7939	0.644888
PMLBSc004	NZ_CM003641.1	81.7575	3.36356
PMLBSc005	NC_002978.6	98.4395	69.8604
PMLBSc005	NZ_CM003641.1	91.3963	20.8049
PMLBSc006	NC_002978.6	0.0330498	0.000951268
PMLBSc006	NZ_CM003641.1	0.0121714	0.000899622
PMLBSc007	NC_002978.6	0.184022	0.00330577
PMLBSc007	NZ_CM003641.1	0.0180806	0.00790698
PMLBSc008	NC_002978.6	0.0195617	0.000528482
PMLBSc008	NZ_CM003641.1	0.00379253	0.000530954
PMLBSc009	NC_002978.6	0.0939436	0.00225512
PMLBSc009	NZ_CM003641.1	0.0871399	0.00257627
PMLBSc010	NC_002978.6	0.146713	0.00867499
PMLBSc010	NZ_CM003641.1	0.130004	0.0040827
PMLBSc011	NC_002978.6	98.4212	90.0829
PMLBSc011	NZ_CM003641.1	70.5144	3.14059
PMLBSc012	NC_002978.6	0.188676	0.0121164
PMLBSc012	NZ_CM003641.1	0.21441	0.00803134
PMLBSc013	NC_002978.6	13.1738	0.66433
PMLBSc013	NZ_CM003641.1	82.1274	3.39802
PMLBSc014	NC_002978.6	0.0563188	0.00155074
PMLBSc014	NZ_CM003641.1	0.105485	0.00151789
PMLBSc015	NC_002978.6	0.0685449	0.00228746
PMLBSc015	NZ_CM003641.1	0.0604158	0.00198005
PMLBSc016	NC_002978.6	0.0823485	0.00307151
PMLBSc016	NZ_CM003641.1	0.17622	0.00350324
PMLBSc017	NC_002978.6	0.138194	0.0060105
PMLBSc017	NZ_CM003641.1	0.128328	0.00372638
PMLBSc018	NC_002978.6	0.0595528	0.00142532
PMLBSc018	NZ_CM003641.1	0.0346619	0.00114393
PMLBSc019	NC_002978.6	0.260218	0.0395991
PMLBSc019	NZ_CM003641.1	0.253129	0.0174183
PMLBSc020	NC_002978.6	96.5611	99.2315
PMLBSc020	NZ_CM003641.1	12.6866	1.23599
PMLBSc021	NC_002978.6	0.0171165	0.00182445
PMLBSc021	NZ_CM003641.1	0.00379253	0.00258421
PMLBSc022	NC_002978.6	0.158545	0.00427676
PMLBSc022	NZ_CM003641.1	0.127711	0.00326951
PMLBSc023	NC_002978.6	9.39712	0.145219
PMLBSc023	NZ_CM003641.1	0.134591	0.00406418
PMLBSc024	NC_002978.6	0.469166	0.108305
PMLBSc024	NZ_CM003641.1	0.284969	0.0493787
PMLBSc025	NC_002978.6	0.0632601	0.00200665
PMLBSc025	NZ_CM003641.1	0.0165813	0.00117833
PMLBSc026	NC_002978.6	0.176213	0.00559402
PMLBSc026	NZ_CM003641.1	0.0891685	0.00324658
PMLBSc027	NC_002978.6	0.109325	0.00161226
PMLBSc027	NZ_CM003641.1	0.0774381	0.00125594
PMLBSc028	NC_002978.6	0.22985	0.0271727
PMLBSc028	NZ_CM003641.1	0.156199	0.0124889
PMLBSc029	NC_002978.6	0.101753	0.00271656
PMLBSc029	NZ_CM003641.1	0.118274	0.00621798
PMLBSc030	NC_002978.6	0.0440928	0.00132988
PMLBSc030	NZ_CM003641.1	0.0246955	0.000935784
PMLBSc031	NC_002978.6	0.189149	0.00959708
PMLBSc031	NZ_CM003641.1	0.110512	0.00390983
PMLBSc032	NC_002978.6	8.9793	0.40118
PMLBSc032	NZ_CM003641.1	69.9485	2.14551
PMLBSc033	NC_002978.6	3.07017	0.0480745
PMLBSc033	NZ_CM003641.1	19.9408	0.315378
PMLBSc034	NC_002978.6	0.225827	0.00689472
PMLBSc034	NZ_CM003641.1	0.0582991	0.00565527
PMLBSc035	NC_002978.6	0.196879	0.00978007
PMLBSc035	NZ_CM003641.1	0.185746	0.00559265
PMLBSc036	NC_002978.6	16.8101	1.93869
PMLBSc036	NZ_CM003641.1	88.3385	14.5803
PMLBSc037	NC_002978.6	0.0108063	0.000995439
PMLBSc037	NZ_CM003641.1	0.00379253	0.000900504
PMLBSc038	NC_002978.6	0.102936	0.00395573
PMLBSc038	NZ_CM003641.1	0.0396892	0.0035835
PMLBSc039	NC_002978.6	0.0429096	0.00137169
PMLBSc039	NZ_CM003641.1	0.0300756	0.000637674
PMLBSc040	NC_002978.6	98.5178	87.884
PMLBSc040	NZ_CM003641.1	91.7987	38.3398
PMLBSc041	NC_002978.6	15.876	0.949929
PMLBSc041	NZ_CM003641.1	81.6592	3.8575
PMLBSc042	NC_002978.6	13.5137	0.500954
PMLBSc042	NZ_CM003641.1	76.5132	2.72824
PMLBSc043	NC_002978.6	15.9894	0.814917
PMLBSc043	NZ_CM003641.1	83.5553	4.14474
PMLBSc044	NC_002978.6	0.298001	0.0581551
PMLBSc044	NZ_CM003641.1	0.28197	0.0304513
PMLBSc045	NC_002978.6	96.4013	29.6163
PMLBSc045	NZ_CM003641.1	3.77171	0.343416
PMLBSc046	NC_002978.6	0.408982	0.159903
PMLBSc046	NZ_CM003641.1	0.340622	0.0807887
PMLBSc047	NC_002978.6	15.3797	3.18081
PMLBSc047	NZ_CM003641.1	87.4482	9.36629
PMLBSc048	NC_002978.6	21.6637	5.82719
PMLBSc048	NZ_CM003641.1	89.1731	45.8925
PMLBSc049	NC_002978.6	0.233005	0.0155208
PMLBSc049	NZ_CM003641.1	0.170223	0.00776939
PMLBSc050	NC_002978.6	0.0759594	0.00374591
PMLBSc050	NZ_CM003641.1	0.10478	0.00337447
PMLBSc051	NC_002978.6	0.372935	0.0110658
PMLBSc051	NZ_CM003641.1	0.0756741	0.00764062
PMLBSc052	NC_002978.6	0.169588	0.00776316
PMLBSc052	NZ_CM003641.1	0.232579	0.00666691
PMLBSc053	NC_002978.6	0.0387291	0.00169745
PMLBSc053	NZ_CM003641.1	0.00379253	0.00168812
PMLBSc054	NC_002978.6	0.0977297	0.00848174
PMLBSc054	NZ_CM003641.1	0.0224906	0.00551063
PMLBSc055	NC_002978.6	0.0549779	0.00164618
PMLBSc055	NZ_CM003641.1	0.0541537	0.00219614
PMLBSc056	NC_002978.6	0.274732	0.176595
PMLBSc056	NZ_CM003641.1	0.247573	0.0994312
PMLBSc057	NC_002978.6	0.0366782	0.000616037
PMLBSc057	NZ_CM003641.1	0.00379253	0.000227552
PMLBSc058	NC_002978.6	0.11461	0.00422707
PMLBSc058	NZ_CM003641.1	0.0211676	0.00213704
PMLBSc059	NC_002978.6	0.0978086	0.00335152
PMLBSc059	NZ_CM003641.1	0.0939312	0.0030155
PMLBSc060	NC_002978.6	0.195538	0.0142706
PMLBSc060	NZ_CM003641.1	0.193331	0.0066819
PMLBSc061	NC_002978.6	19.4959	3.37257
PMLBSc061	NZ_CM003641.1	88.8427	25.4317
PMLBSc062	NC_002978.6	0.0204294	0.00152708
PMLBSc062	NZ_CM003641.1	0.00379253	0.000754977
PMLBSc063	NC_002978.6	0.31354	0.00650033
PMLBSc063	NZ_CM003641.1	0.170134	0.00242633
PMLBSc064	NC_002978.6	0.212734	0.00355976
PMLBSc064	NZ_CM003641.1	0.596573	0.00943369
