Sample	Strain	Coverage	MeanDepth
PMLBSc001	NC_002978.6	97.1576	18.0056
PMLBSc001	NC_021084.1	7.20828	1.52
PMLBSc002	NC_002978.6	98.0246	61.5565
PMLBSc002	NC_021084.1	93.9695	22.3832
PMLBSc003	NC_002978.6	16.2071	1.565
PMLBSc003	NC_021084.1	84.2019	12.4288
PMLBSc004	NC_002978.6	10.2716	0.41883
PMLBSc004	NC_021084.1	77.9832	3.35387
PMLBSc005	NC_002978.6	98.0796	65.8514
PMLBSc005	NC_021084.1	94.1486	27.3278
PMLBSc006	NC_002978.6	0.0116739	0.000709112
PMLBSc006	NC_021084.1	0.0388686	0.00122751
PMLBSc007	NC_002978.6	0.184259	0.0077111
PMLBSc007	NC_021084.1	0.0155935	0.000542316
PMLBSc008	NC_002978.6	0.0195617	0.000701225
PMLBSc008	NC_021084.1	0.00330306	0.000294203
PMLBSc009	NC_002978.6	0.111691	0.00285301
PMLBSc009	NC_021084.1	0.0725137	0.00166382
PMLBSc010	NC_002978.6	0.13851	0.00792171
PMLBSc010	NC_021084.1	0.105237	0.0045106
PMLBSc011	NC_002978.6	97.7802	86.4245
PMLBSc011	NC_021084.1	76.6251	9.68255
PMLBSc012	NC_002978.6	0.212103	0.0126386
PMLBSc012	NC_021084.1	0.195188	0.00711925
PMLBSc013	NC_002978.6	10.6665	0.423529
PMLBSc013	NC_021084.1	77.8467	3.41606
PMLBSc014	NC_002978.6	0.067204	0.00134802
PMLBSc014	NC_021084.1	0.109385	0.00230907
PMLBSc015	NC_002978.6	0.0552145	0.00246888
PMLBSc015	NC_021084.1	0.0563057	0.00151019
PMLBSc016	NC_002978.6	0.109798	0.00369701
PMLBSc016	NC_021084.1	0.145565	0.00241661
PMLBSc017	NC_002978.6	0.137563	0.00635835
PMLBSc017	NC_021084.1	0.106466	0.00299964
PMLBSc018	NC_002978.6	0.0377036	0.00094969
PMLBSc018	NC_021084.1	0.0585333	0.00157625
PMLBSc019	NC_002978.6	0.243181	0.039349
PMLBSc019	NC_021084.1	0.240432	0.0155935
PMLBSc020	NC_002978.6	96.3519	97.6084
PMLBSc020	NC_021084.1	14.2678	3.62108
