Sample	Completeness
PMLBSc001	83.1
PMLBSc002	84.7
PMLBSc003	86.3
PMLBSc004	42.7
PMLBSc005	83.9
PMLBSc006	0.0
PMLBSc007	0.0
PMLBSc008	0.0
PMLBSc009	0.0
PMLBSc010	0.0
PMLBSc011	83.8
PMLBSc012	0.0
PMLBSc013	48.4
PMLBSc014	0.0
PMLBSc015	0.0
PMLBSc016	0.0
PMLBSc017	0.0
PMLBSc018	0.0
PMLBSc019	0.0
PMLBSc020	83.9
PMLBSc021	0.0
PMLBSc022	0.0
PMLBSc023	0.8
PMLBSc024	0.0
PMLBSc025	0.0
PMLBSc026	0.0
PMLBSc027	0.0
PMLBSc028	0.0
PMLBSc029	0.0
PMLBSc030	0.0
PMLBSc031	0.0
PMLBSc032	19.4
PMLBSc033	0.8
PMLBSc034	0.0
PMLBSc035	0.0
PMLBSc036	86.3
PMLBSc037	0.0
PMLBSc038	0.0
PMLBSc039	0.0
PMLBSc040	85.5
PMLBSc041	58.9
PMLBSc042	30.6
PMLBSc043	55.6
PMLBSc044	0.0
PMLBSc045	83.9
PMLBSc046	0.0
PMLBSc047	85.5
PMLBSc048	86.3
PMLBSc049	0.0
PMLBSc050	0.0
PMLBSc051	0.0
PMLBSc052	0.0
PMLBSc053	0.0
PMLBSc054	0.0
PMLBSc055	0.0
PMLBSc056	0.0
PMLBSc057	0.0
PMLBSc058	0.0
PMLBSc059	0.0
PMLBSc060	0.0
PMLBSc061	86.3
PMLBSc062	0.0
PMLBSc063	0.0
PMLBSc064	0.0
PMLBSc065	3.2
PMLBSc066	0.0
PMLBSc067	0.0
PMLBSc068	65.3
PMLBSc069	0.0
PMLBSc070	0.0
PMLBSc071	0.0
PMLBSc072	0.0
PMLBSc073	73.4
PMLBSc074	64.5
PMLBSc075	82.3
PMLBSc076	0.0
PMLBSc077	0.0
