sample	reference	numreads	breadth	meandepth	rpm
PMLBSc001	NC_002978.6	90797	92.1785	10.653	1842.57
PMLBSc001	NC_006833.1	148	0.450058	0.0147285	3.00
PMLBSc001	NC_012416.1	22654	43.732	2.31017	459.72
PMLBSc001	NC_010981.1	6644	7.19064	0.626371	134.83
PMLBSc001	NC_018267.1	52	0.252403	0.00571092	1.06
PMLBSc001	NC_021084.1	5400	4.96773	0.596931	109.58
PMLBSc001	NC_021089.1	20268	42.6324	2.30908	411.30
PMLBSc001	NZ_HG810405.1	220	0.116488	0.00947515	4.46
PMLBSc001	NZ_AP013028.1	324	0.809161	0.0295466	6.58
PMLBSc001	NZ_CM003641.1	164	0.644465	0.0177164	3.33
PMLBSc001	NZ_CP031221.1	4211	3.71461	0.408601	85.46
PMLBSc001	NZ_CP037426.1	25381	49.7998	2.76393	515.06
PMLBSc002	NC_002978.6	298889	96.2165	35.0981	4721.64
PMLBSc002	NC_006833.1	475	2.93338	0.054431	7.50
PMLBSc002	NC_012416.1	81539	56.9157	8.27472	1288.10
PMLBSc002	NC_010981.1	98509	83.9929	9.62896	1556.18
PMLBSc002	NC_018267.1	128	1.10419	0.0156703	2.02
PMLBSc002	NC_021084.1	98096	88.0398	11.0732	1549.65
PMLBSc002	NC_021089.1	81650	56.0856	9.2198	1289.85
PMLBSc002	NZ_HG810405.1	638	1.16696	0.0348526	10.08
PMLBSc002	NZ_AP013028.1	2474	7.0375	0.259129	39.08
PMLBSc002	NZ_CM003641.1	3882	12.697	0.482284	61.33
PMLBSc002	NZ_CP031221.1	32300	38.7675	3.13188	510.25
PMLBSc002	NZ_CP037426.1	86637	63.2591	9.38919	1368.63
PMLBSc003	NC_002978.6	1779	3.86273	0.193874	24.07
PMLBSc003	NC_006833.1	76	0.429874	0.00763367	1.03
PMLBSc003	NC_012416.1	2982	4.40115	0.291907	40.35
PMLBSc003	NC_010981.1	98553	80.5972	9.85899	1333.46
PMLBSc003	NC_018267.1	20	0.158352	0.00196244	0.27
PMLBSc003	NC_021084.1	13470	26.2782	1.49677	182.25
PMLBSc003	NC_021089.1	3384	3.89712	0.36416	45.79
PMLBSc003	NZ_HG810405.1	204	0.34228	0.0100883	2.76
PMLBSc003	NZ_AP013028.1	312	0.879958	0.0320849	4.22
PMLBSc003	NZ_CM003641.1	3314	10.0034	0.421094	44.84
PMLBSc003	NZ_CP031221.1	16283	29.166	1.60716	220.32
PMLBSc003	NZ_CP037426.1	4750	5.41123	0.497328	64.27
PMLBSc004	NC_002978.6	479	2.00957	0.0529089	8.93
PMLBSc004	NC_006833.1	23	0.137952	0.00175542	0.43
PMLBSc004	NC_012416.1	719	2.38043	0.0714233	13.40
PMLBSc004	NC_010981.1	26737	70.5796	2.6752	498.40
PMLBSc004	NC_018267.1	10	0.0644057	0.00101984	0.19
PMLBSc004	NC_021084.1	3781	15.6942	0.419585	70.48
PMLBSc004	NC_021089.1	772	2.1112	0.0829809	14.39
PMLBSc004	NZ_HG810405.1	258	0.104932	0.010259	4.81
PMLBSc004	NZ_AP013028.1	89	0.397581	0.00857319	1.66
PMLBSc004	NZ_CM003641.1	946	5.10421	0.119054	17.63
PMLBSc004	NZ_CP031221.1	4225	16.5077	0.417385	78.76
PMLBSc004	NZ_CP037426.1	1190	3.19199	0.121572	22.18
PMLBSc005	NC_002978.6	316117	96.0565	37.103	4940.36
PMLBSc005	NC_006833.1	330	1.78884	0.0379017	5.16
PMLBSc005	NC_012416.1	90263	56.6099	9.17303	1410.65
PMLBSc005	NC_010981.1	130724	85.2578	12.8456	2042.99
PMLBSc005	NC_018267.1	54	0.596248	0.00711385	0.84
PMLBSc005	NC_021084.1	109424	88.0445	12.3459	1710.11
PMLBSc005	NC_021089.1	90159	55.1519	10.176	1409.03
PMLBSc005	NZ_HG810405.1	592	0.687995	0.0274209	9.25
PMLBSc005	NZ_AP013028.1	2336	5.39902	0.244655	36.51
PMLBSc005	NZ_CM003641.1	4490	12.3311	0.560624	70.17
PMLBSc005	NZ_CP031221.1	38901	39.3585	3.78462	607.95
PMLBSc005	NZ_CP037426.1	94053	62.1981	10.1717	1469.88
PMLBSc006	NC_002978.6	2	0.00339175	6.70462e-05	0.03
PMLBSc006	NC_006833.1	6	0.0141656	0.000372193	0.10
PMLBSc006	NC_012416.1	3	0.00297398	8.78362e-05	0.05
PMLBSc006	NC_018267.1	4	0.014092	0.000231735	0.06
PMLBSc006	NC_021084.1	10	0.014979	0.000533867	0.16
PMLBSc006	NC_021089.1	1	0.0033184	3.3184e-05	0.02
PMLBSc006	NZ_HG810405.1	268	0.0489268	0.00978641	4.29
