#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	18	737	0.058133	0.00128887	35.8	0
NC_006833.1	1	1080084	38	1069	0.0989738	0.00332196	36.4	2.32
NC_012416.1	1	1445873	9	845	0.0584422	0.000607937	36.6	4.89
NC_010981.1	1	1482455	23	1209	0.0815539	0.00146649	36.2	0.174
NC_018267.1	1	957990	33	1260	0.131525	0.00377353	36	0.182
NC_021084.1	1	1301823	6	560	0.0430166	0.000430166	36.6	0
NC_021089.1	1	1295804	12	611	0.0471522	0.000756287	35	1
NZ_HG810405.1	1	960618	94	2314	0.240887	0.00819472	36.3	1.79
NZ_AP013028.1	1	1250060	25	1186	0.0948754	0.00185191	35.9	4.32
NZ_CM003641.1	1	1133809	26	1257	0.110865	0.00206384	36.5	1.46
NZ_CP031221.1	1	1484007	16	799	0.0538407	0.00093261	35.8	0
NZ_CP037426.1	1	1352354	18	844	0.0624097	0.00112692	35.5	0
