Sample	Strain	Coverage	MeanDepth
PMLBSc001	NC_002978.6	92.1785	10.653
PMLBSc001	NC_006833.1	0.450058	0.0147285
PMLBSc001	NC_012416.1	43.732	2.31017
PMLBSc001	NC_010981.1	7.19064	0.626371
PMLBSc001	NC_018267.1	0.252403	0.00571092
PMLBSc001	NC_021084.1	4.96773	0.596931
PMLBSc001	NC_021089.1	42.6324	2.30908
PMLBSc001	NZ_HG810405.1	0.116488	0.00947515
PMLBSc001	NZ_AP013028.1	0.809161	0.0295466
PMLBSc001	NZ_CM003641.1	0.644465	0.0177164
PMLBSc001	NZ_CP031221.1	3.71461	0.408601
PMLBSc001	NZ_CP037426.1	49.7998	2.76393
PMLBSc002	NC_002978.6	96.2165	35.0981
PMLBSc002	NC_006833.1	2.93338	0.054431
PMLBSc002	NC_012416.1	56.9157	8.27472
PMLBSc002	NC_010981.1	83.9929	9.62896
PMLBSc002	NC_018267.1	1.10419	0.0156703
PMLBSc002	NC_021084.1	88.0398	11.0732
PMLBSc002	NC_021089.1	56.0856	9.2198
PMLBSc002	NZ_HG810405.1	1.16696	0.0348526
PMLBSc002	NZ_AP013028.1	7.0375	0.259129
PMLBSc002	NZ_CM003641.1	12.697	0.482284
PMLBSc002	NZ_CP031221.1	38.7675	3.13188
PMLBSc002	NZ_CP037426.1	63.2591	9.38919
PMLBSc003	NC_002978.6	3.86273	0.193874
PMLBSc003	NC_006833.1	0.429874	0.00763367
PMLBSc003	NC_012416.1	4.40115	0.291907
PMLBSc003	NC_010981.1	80.5972	9.85899
PMLBSc003	NC_018267.1	0.158352	0.00196244
PMLBSc003	NC_021084.1	26.2782	1.49677
PMLBSc003	NC_021089.1	3.89712	0.36416
PMLBSc003	NZ_HG810405.1	0.34228	0.0100883
PMLBSc003	NZ_AP013028.1	0.879958	0.0320849
PMLBSc003	NZ_CM003641.1	10.0034	0.421094
PMLBSc003	NZ_CP031221.1	29.166	1.60716
PMLBSc003	NZ_CP037426.1	5.41123	0.497328
PMLBSc004	NC_002978.6	2.00957	0.0529089
PMLBSc004	NC_006833.1	0.137952	0.00175542
PMLBSc004	NC_012416.1	2.38043	0.0714233
PMLBSc004	NC_010981.1	70.5796	2.6752
PMLBSc004	NC_018267.1	0.0644057	0.00101984
PMLBSc004	NC_021084.1	15.6942	0.419585
PMLBSc004	NC_021089.1	2.1112	0.0829809
PMLBSc004	NZ_HG810405.1	0.104932	0.010259
PMLBSc004	NZ_AP013028.1	0.397581	0.00857319
PMLBSc004	NZ_CM003641.1	5.10421	0.119054
PMLBSc004	NZ_CP031221.1	16.5077	0.417385
PMLBSc004	NZ_CP037426.1	3.19199	0.121572
PMLBSc005	NC_002978.6	96.0565	37.103
PMLBSc005	NC_006833.1	1.78884	0.0379017
PMLBSc005	NC_012416.1	56.6099	9.17303
PMLBSc005	NC_010981.1	85.2578	12.8456
PMLBSc005	NC_018267.1	0.596248	0.00711385
PMLBSc005	NC_021084.1	88.0445	12.3459
PMLBSc005	NC_021089.1	55.1519	10.176
PMLBSc005	NZ_HG810405.1	0.687995	0.0274209
PMLBSc005	NZ_AP013028.1	5.39902	0.244655
PMLBSc005	NZ_CM003641.1	12.3311	0.560624
PMLBSc005	NZ_CP031221.1	39.3585	3.78462
PMLBSc005	NZ_CP037426.1	62.1981	10.1717
PMLBSc006	NC_002978.6	0.00339175	6.70462e-05
PMLBSc006	NC_006833.1	0.0141656	0.000372193
PMLBSc006	NC_012416.1	0.00297398	8.78362e-05
PMLBSc006	NC_018267.1	0.014092	0.000231735
PMLBSc006	NC_021084.1	0.014979	0.000533867
PMLBSc006	NC_021089.1	0.0033184	3.3184e-05
PMLBSc006	NZ_HG810405.1	0.0489268	0.00978641
PMLBSc006	NZ_AP013028.1	0.00343983	0.000136793
PMLBSc006	NZ_CP031221.1	0.0203503	0.000226414
PMLBSc006	NZ_CP037426.1	0.0109439	0.00177025
PMLBSc006	NC_010981.1	0	0
PMLBSc006	NZ_CM003641.1	0	0
PMLBSc007	NC_002978.6	0.11461	0.00124706
PMLBSc007	NC_006833.1	0.0137026	0.000208317
PMLBSc007	NC_012416.1	0.0219936	0.000321605
PMLBSc007	NC_010981.1	0.0124793	0.000404734
PMLBSc007	NC_018267.1	0.0108561	0.00462635
PMLBSc007	NC_021084.1	0.0122905	0.000122905
PMLBSc007	NC_021089.1	0.0261614	0.000290167
PMLBSc007	NZ_HG810405.1	0.0759927	0.00995505
PMLBSc007	NZ_AP013028.1	0.0165592	0.000165592
PMLBSc007	NZ_CM003641.1	0.0180806	0.000981647
PMLBSc007	NZ_CP031221.1	0.00289756	5.66035e-05
PMLBSc007	NZ_CP037426.1	0.0212962	0.000334971
PMLBSc008	NC_002978.6	0.00339175	6.7835e-05
PMLBSc008	NC_006833.1	0.00398117	0.000236093
PMLBSc008	NC_012416.1	0.00352728	3.52728e-05
PMLBSc008	NC_010981.1	0.00526154	0.000209787
PMLBSc008	NC_018267.1	0.00365348	0.000546979
PMLBSc008	NC_021089.1	0.00324123	0.000370426
PMLBSc008	NZ_HG810405.1	0.0106182	0.0269566
PMLBSc008	NZ_AP013028.1	0.0083996	0.000167992
PMLBSc008	NZ_CM003641.1	0.00379253	0.000224024
PMLBSc008	NZ_CP037426.1	0.0183384	0.000278773
PMLBSc008	NC_021084.1	0	0
PMLBSc008	NZ_CP031221.1	0	0
PMLBSc009	NC_002978.6	0.0355739	0.000478
PMLBSc009	NC_006833.1	0.0331456	0.000633284
PMLBSc009	NC_012416.1	0.0297398	0.000495203
PMLBSc009	NC_010981.1	0.012884	0.00012884
PMLBSc009	NC_018267.1	0.0757837	0.00102506
PMLBSc009	NC_021084.1	0.0163617	0.000163617
PMLBSc009	NZ_HG810405.1	0.08151	0.00307094
PMLBSc009	NZ_AP013028.1	0.0267987	0.000519175
PMLBSc009	NZ_CM003641.1	0.043129	0.000713524
PMLBSc009	NZ_CP037426.1	0.013458	0.000216659
PMLBSc009	NC_021089.1	0	0
PMLBSc009	NZ_CP031221.1	0	0
PMLBSc010	NC_002978.6	0.0558456	0.00142454
PMLBSc010	NC_006833.1	0.0500887	0.00176653
PMLBSc010	NC_012416.1	0.0452322	0.000764244
PMLBSc010	NC_010981.1	0.0325136	0.000366959
PMLBSc010	NC_018267.1	0.168582	0.00399482
PMLBSc010	NC_021084.1	0.0489314	0.00100474
PMLBSc010	NC_021089.1	0.0267787	0.000413643
PMLBSc010	NZ_HG810405.1	0.0766173	0.0116446
PMLBSc010	NZ_AP013028.1	0.0700766	0.00254308
PMLBSc010	NZ_CM003641.1	0.0513314	0.000798194
PMLBSc010	NZ_CP031221.1	0.0307276	0.000307276
PMLBSc010	NZ_CP037426.1	0.0684732	0.00498168
PMLBSc011	NC_002978.6	96.0228	51.6272
PMLBSc011	NC_006833.1	4.19134	0.0717861
PMLBSc011	NC_012416.1	57.1566	10.9467
PMLBSc011	NC_010981.1	23.9138	3.22281
PMLBSc011	NC_018267.1	1.83728	0.029589
PMLBSc011	NC_021084.1	66.5026	4.55323
PMLBSc011	NC_021089.1	57.3583	11.0079
PMLBSc011	NZ_HG810405.1	1.46874	0.029989
PMLBSc011	NZ_AP013028.1	5.07232	0.163267
PMLBSc011	NZ_CM003641.1	5.95056	0.158314
PMLBSc011	NZ_CP031221.1	16.5366	2.18181
PMLBSc011	NZ_CP037426.1	64.2849	13.2354
PMLBSc012	NC_002978.6	0.058133	0.00128887
PMLBSc012	NC_006833.1	0.0989738	0.00332196
PMLBSc012	NC_012416.1	0.0584422	0.000607937
PMLBSc012	NC_010981.1	0.0815539	0.00146649
PMLBSc012	NC_018267.1	0.131525	0.00377353
PMLBSc012	NC_021084.1	0.0430166	0.000430166
PMLBSc012	NC_021089.1	0.0471522	0.000756287
PMLBSc012	NZ_HG810405.1	0.240887	0.00819472
PMLBSc012	NZ_AP013028.1	0.0948754	0.00185191
PMLBSc012	NZ_CM003641.1	0.110865	0.00206384
PMLBSc012	NZ_CP031221.1	0.0538407	0.00093261
