Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Wolbachia endosymbiont of Drosophila melanogaster		strain: wMel	163164	ASM802v1	GCF_000008025.1	RefSeq	GCF_000008025.1-RS_2024_03_28	Complete Genome	1267782	1267782	2004-02-05	1322	PRJNA272	SAMN02604000
Wolbachia endosymbiont strain TRS of Brugia malayi		isolate: wBm	292805	ASM838v1	GCF_000008385.1	RefSeq	GCF_000008385.1-RS_2024_03_28	Complete Genome	1080084	1080084	2005-02-02	1069	PRJNA12475	SAMN02603678
Wolbachia sp. wRi		strain: wRi	66084	ASM2228v1	GCF_000022285.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1445873	1445873	2009-03-24	1388	PRJNA33273	SAMN02603205
Wolbachia endosymbiont of Culex quinquefasciatus Pel		strain: wPip	570417	ASM7300v1	GCF_000073005.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	1136299	1482455	2008-06-13	1414	PRJNA30313	SAMEA1705930
Wolbachia endosymbiont of Onchocerca ochengi		strain: wOo	100901	ASM30688v1	GCF_000306885.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	957990	957990	2012-07-30	750	PRJEA81837	SAMEA2272360
Wolbachia endosymbiont of Drosophila simulans wNo		strain: wNo	1236908	ASM37658v1	GCF_000376585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1301823	1301823	2013-04-22	1222	PRJNA176302	SAMN02604272
Wolbachia endosymbiont of Drosophila simulans wHa		strain: wHa	1236909	ASM37660v1	GCF_000376605.1	RefSeq	GCF_000376605.1-RS_2024_03_28	Complete Genome	1295804	1295804	2013-04-22	1245	PRJNA176303	SAMN02604273
Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon		strain: Cameroon	1410384	W_O_volvulus_Cameroon_v3	GCF_000530755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	960618	960618	2014-01-24	751	PRJEB4840	SAMEA3138891
Wolbachia endosymbiont of Cimex lectularius		strain: wCle	246273	ASM82931v1	GCF_000829315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1250060	1250060	2014-06-10	1259	PRJDB748	SAMD00061059
Wolbachia endosymbiont of Drosophila simulans wAu			225364	Wau001	GCF_000953315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1268461	1268461	2014-10-15	1265	PRJEB6321	SAMEA2555295
Wolbachia endosymbiont of Trichogramma pretiosum		strain: wTpre	125593	wTPRE_1.0	GCF_001439985.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	290473	1133809	2016-01-07	1230	PRJNA168121	SAMN04092459
Wolbachia endosymbiont of Drosophila incompta		strain: wInc_Cu	1633785	ASM175856v1	GCF_001758565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	14537	1267840	2016-10-11	1237	PRJNA279175	SAMN03437828
Wolbachia endosymbiont of Folsomia candida		strain: Berlin	169402	ASM193175v2	GCF_001931755.2	RefSeq	GCF_001931755.2-RS_2024_03_28	Complete Genome	1801626	1801626	2018-06-25	1672	PRJNA300838	SAMN04229547
Wolbachia pipientis		strain: wAlbB-HN2016	955	ASM237484v2	GCF_002374845.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1483853	1483853	2019-07-31	1461	PRJNA407640	SAMN07666453
Wolbachia pipientis		strain: wAlbB-FL2016	955	ASM237914v2	GCF_002379145.2	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1482279	1482279	2019-07-31	1458	PRJNA407640	SAMN07666472
Wolbachia endosymbiont of Bemisia tabaci		strain: China 1	215173	ASM399958v1	GCF_003999585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	71690	1306495	2019-01-08	1226	PRJNA327485	SAMN05335586
Wolbachia pipientis wAlbB		strain: wAlbB	1116230	ASM417128v1	GCF_004171285.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1484007	1484007	2019-02-12	1465	PRJNA454708	SAMN09012283
Wolbachia endosymbiont of Brugia malayi		isolate: TRS	80849	ASM479593v1	GCF_004795935.1	RefSeq	GCF_004795935.1-RS_2024_03_28	Complete Genome	1080064	1080064	2019-04-16	1093	PRJNA508212	SAMN10519683
Wolbachia endosymbiont of Drosophila mauritiana		strain: wMau	109663	ASM479595v1	GCF_004795955.1	RefSeq	GCF_004795955.1-RS_2024_03_28	Complete Genome	1273527	1273527	2019-04-16	1215	PRJNA508212	SAMN10519763
Wolbachia endosymbiont of Drosophila mauritiana		strain: wMau	109663	ASM479597v1	GCF_004795975.1	RefSeq	GCF_004795975.1-RS_2024_03_28	Complete Genome	1273530	1273530	2019-04-16	1200	PRJNA508212	SAMN10519765
Wolbachia endosymbiont of Carposina sasakii		isolate: wCauA	2591635	ASM654229v1	GCF_006542295.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1449344	1449344	2019-07-02	1413	PRJNA550963	SAMN12136010
Wolbachia pipientis		strain: wMel_N25	955	ASM797168v1	GCF_007971685.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267781	1267781	2019-08-12	1320	PRJNA557362	SAMN12414615
Wolbachia pipientis		strain: wMel_I23	955	ASM797259v1	GCF_007972595.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1269137	1269137	2019-08-12	1324	PRJNA557362	SAMN12414621
Wolbachia pipientis		strain: wMel_ZH26	955	ASM797274v1	GCF_007972745.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267436	1267436	2019-08-12	1318	PRJNA557362	SAMN12414613
Wolbachia endosymbiont of Drosophila ananassae		strain: W2.1	307502	ASM803321v1	GCF_008033215.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1401460	1401460	2019-08-20	1358	PRJNA393867	SAMN10261083
Wolbachia endosymbiont of Chrysomya megacephala		isolate: wMeg	1335053	ASM824506v1	GCF_008245065.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1376868	1376868	2019-09-03	1283	PRJNA385248	SAMN06885781
Wolbachia pipientis		strain: wIrr	955	ASM973275v1	GCF_009732755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1352354	1352354	2019-12-05	1423	PRJNA525573	SAMN11053861
Wolbachia endosymbiont of Brugia pahangi		isolate: FR3	96495	ASM1203069v1	GCF_012030695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1072967	1072967	2020-04-05	1090	PRJNA393873	SAMN14437413
Wolbachia endosymbiont of Ctenocephalides felis wCfeT		strain: wCfeT	2732593	ASM1227729v1	GCF_012277295.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1495538	1495538	2020-04-14	1478	PRJNA622233	SAMN14530457
Wolbachia endosymbiont of Ctenocephalides felis wCfeJ		isolate: wCfeJ	2732594	ASM1227731v1	GCF_012277315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1201647	1201647	2020-04-14	1174	PRJNA622233	SAMN14530437
Wolbachia endosymbiont of Diaphorina citri		isolate: KPSwDI15P40	116598	ASM1309635v2	GCF_013096355.2	RefSeq	GCF_013096355.2-RS_2024_03_29	Chromosome	1538523	1538623	2020-07-13	1438	PRJNA603775	SAMN14560312
Wolbachia endosymbiont of Diaphorina citri		isolate: KPSwDI10P38	116598	ASM1309653v2	GCF_013096535.2	RefSeq	GCF_013096535.2-RS_2024_03_29	Chromosome	1542468	1542568	2020-07-13	1455	PRJNA603775	SAMN14560311
Wolbachia endosymbiont of Diaphorina citri		isolate: KPSwDI05P26	116598	ASM1309672v2	GCF_013096725.2	RefSeq	GCF_013096725.2-RS_2024_03_29	Chromosome	1518595	1518695	2020-07-13	1444	PRJNA603775	SAMN14560310
Wolbachia endosymbiont of Litomosoides sigmodontis		strain: wLsig	80850	ASM1336543v1	GCF_013365435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1045802	1045802	2020-06-22	860	PRJNA593581	SAMN13482485
Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis		strain: FR3	1812115	ASM1336545v1	GCF_013365455.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	920122	920122	2020-06-22	736	PRJNA593581	SAMN13482488
Wolbachia endosymbiont of Cruorifilaria tuberocauda		strain: 55YT	1812111	ASM1336547v1	GCF_013365475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	863988	863988	2020-06-22	701	PRJNA593581	SAMN13482046
Wolbachia endosymbiont of Dipetalonema caudispina		strain: 362YU	1812112	ASM1336549v1	GCF_013365495.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	863427	863427	2020-06-22	665	PRJNA593581	SAMN13482057
Wolbachia endosymbiont of Diaphorina citri		isolate: dawsonii	116598	ASM1345881v1	GCF_013458815.1	RefSeq	GCF_013458815.1-RS_2024_03_29	Complete Genome	1656288	1656288	2020-07-22	1570	PRJNA544530	SAMN12136689
Wolbachia pipientis		isolate: wNik	955	ASM1410745v1	GCF_014107455.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	583015	1139744	2020-08-07	1197	PRJNA603900	SAMN13944156
Wolbachia pipientis		isolate: wStv	955	ASM1410747v1	GCF_014107475.1	RefSeq	GCF_014107475.1-RS_2024_04_27	Chromosome	919978	1185354	2020-08-07	1136	PRJNA603900	SAMN13944158
Candidatus Wolbachia massiliensis		isolate: PL13	1845000	ASM1477164v1	GCF_014771645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	50110	1291339	2020-09-28	1244	PRJNA663644	SAMN16175503
Wolbachia endosymbiont of Drosophila melanogaster		isolate: wMelpop	163164	ASM1658432v1	GCF_016584325.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1330657	1330657	2021-01-08	1346	PRJNA587443	SAMN13190964
Wolbachia endosymbiont of Drosophila melanogaster		isolate: wMelPop2	163164	ASM1658435v1	GCF_016584355.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1330657	1330657	2021-01-08	1346	PRJNA587443	SAMN13190963
Wolbachia endosymbiont of Drosophila melanogaster		isolate: wMelOctoless	163164	ASM1658437v1	GCF_016584375.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1246905	1246905	2021-01-08	1291	PRJNA587443	SAMN13190962
Wolbachia endosymbiont of Drosophila melanogaster		isolate: wMelCS_b	163164	ASM1658440v1	GCF_016584405.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267843	1267843	2021-01-08	1323	PRJNA587443	SAMN13190961
Wolbachia endosymbiont of Drosophila melanogaster		isolate: wMel	163164	ASM1658442v1	GCF_016584425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267783	1267783	2021-01-08	1313	PRJNA587443	SAMN13190960
Wolbachia pipientis		strain: wCin2USA1	955	ASM1760424v1	GCF_017604245.1	RefSeq	GCF_017604245.1-RS_2024_04_22	Complete Genome	1538351	1538351	2021-03-29	1542	PRJNA713538	SAMN18341210
Wolbachia endosymbiont of Ceratosolen solmsi		isolate: MIAOwCsol	497299	ASM1786915v1	GCF_017869155.1	RefSeq	GCF_017869155.1-RS_2024_03_28	Chromosome	355145	1206967	2021-04-08	1200	PRJNA637982	SAMN15163175
Wolbachia endosymbiont of Wiebesia pumilae		isolate: MIAOwWpum	2742717	ASM1786928v1	GCF_017869285.1	RefSeq	GCF_017869285.1-RS_2024_03_28	Complete Genome	1278697	1278697	2021-04-08	1356	PRJNA637974	SAMN15163053
Wolbachia endosymbiont of Aedes aegypti		isolate: GV_2018_4	546165	ASM1789624v1	GCF_017896245.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267786	1267786	2021-04-10	1323	PRJNA695307	SAMN17611332
