Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Wolbachia endosymbiont strain TRS of Brugia malayi		isolate: wBm	292805	ASM838v1	GCF_000008385.1	RefSeq	GCF_000008385.1-RS_2024_03_28	Complete Genome	1080084	1080084	2005-02-02	1069	PRJNA12475	SAMN02603678
Wolbachia endosymbiont of Culex quinquefasciatus Pel		strain: wPip	570417	ASM7300v1	GCF_000073005.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	1136299	1482455	2008-06-13	1414	PRJNA30313	SAMEA1705930
Wolbachia endosymbiont of Onchocerca ochengi		strain: wOo	100901	ASM30688v1	GCF_000306885.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	957990	957990	2012-07-30	750	PRJEA81837	SAMEA2272360
Wolbachia endosymbiont of Drosophila simulans wHa		strain: wHa	1236909	ASM37660v1	GCF_000376605.1	RefSeq	GCF_000376605.1-RS_2024_03_28	Complete Genome	1295804	1295804	2013-04-22	1245	PRJNA176303	SAMN02604273
Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon		strain: Cameroon	1410384	W_O_volvulus_Cameroon_v3	GCF_000530755.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	960618	960618	2014-01-24	751	PRJEB4840	SAMEA3138891
Wolbachia endosymbiont of Cimex lectularius		strain: wCle	246273	ASM82931v1	GCF_000829315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1250060	1250060	2014-06-10	1259	PRJDB748	SAMD00061059
Wolbachia endosymbiont of Trichogramma pretiosum		strain: wTpre	125593	wTPRE_1.0	GCF_001439985.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	290473	1133809	2016-01-07	1230	PRJNA168121	SAMN04092459
Wolbachia endosymbiont of Drosophila incompta		strain: wInc_Cu	1633785	ASM175856v1	GCF_001758565.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	14537	1267840	2016-10-11	1237	PRJNA279175	SAMN03437828
Wolbachia endosymbiont of Folsomia candida		strain: Berlin	169402	ASM193175v2	GCF_001931755.2	RefSeq	GCF_001931755.2-RS_2024_03_28	Complete Genome	1801626	1801626	2018-06-25	1672	PRJNA300838	SAMN04229547
Wolbachia endosymbiont of Bemisia tabaci		strain: China 1	215173	ASM399958v1	GCF_003999585.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	71690	1306495	2019-01-08	1226	PRJNA327485	SAMN05335586
Wolbachia endosymbiont of Drosophila mauritiana		strain: wMau	109663	ASM479597v1	GCF_004795975.1	RefSeq	GCF_004795975.1-RS_2024_03_28	Complete Genome	1273530	1273530	2019-04-16	1200	PRJNA508212	SAMN10519765
Wolbachia endosymbiont of Carposina sasakii		isolate: wCauA	2591635	ASM654229v1	GCF_006542295.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1449344	1449344	2019-07-02	1413	PRJNA550963	SAMN12136010
Wolbachia endosymbiont of Drosophila ananassae		strain: W2.1	307502	ASM803321v1	GCF_008033215.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1401460	1401460	2019-08-20	1358	PRJNA393867	SAMN10261083
Wolbachia endosymbiont of Chrysomya megacephala		isolate: wMeg	1335053	ASM824506v1	GCF_008245065.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1376868	1376868	2019-09-03	1283	PRJNA385248	SAMN06885781
Wolbachia endosymbiont of Brugia pahangi		isolate: FR3	96495	ASM1203069v1	GCF_012030695.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1072967	1072967	2020-04-05	1090	PRJNA393873	SAMN14437413
Wolbachia endosymbiont of Ctenocephalides felis wCfeT		strain: wCfeT	2732593	ASM1227729v1	GCF_012277295.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1495538	1495538	2020-04-14	1478	PRJNA622233	SAMN14530457
Wolbachia endosymbiont of Ctenocephalides felis wCfeJ		isolate: wCfeJ	2732594	ASM1227731v1	GCF_012277315.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1201647	1201647	2020-04-14	1174	PRJNA622233	SAMN14530437
Wolbachia endosymbiont of Diaphorina citri		isolate: KPSwDI05P26	116598	ASM1309672v2	GCF_013096725.2	RefSeq	GCF_013096725.2-RS_2024_03_29	Chromosome	1518595	1518695	2020-07-13	1444	PRJNA603775	SAMN14560310
Wolbachia endosymbiont of Litomosoides sigmodontis		strain: wLsig	80850	ASM1336543v1	GCF_013365435.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1045802	1045802	2020-06-22	860	PRJNA593581	SAMN13482485
Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis		strain: FR3	1812115	ASM1336545v1	GCF_013365455.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	920122	920122	2020-06-22	736	PRJNA593581	SAMN13482488
Wolbachia endosymbiont of Cruorifilaria tuberocauda		strain: 55YT	1812111	ASM1336547v1	GCF_013365475.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	863988	863988	2020-06-22	701	PRJNA593581	SAMN13482046
Wolbachia endosymbiont of Dipetalonema caudispina		strain: 362YU	1812112	ASM1336549v1	GCF_013365495.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	863427	863427	2020-06-22	665	PRJNA593581	SAMN13482057
Wolbachia pipientis		isolate: wStv	955	ASM1410747v1	GCF_014107475.1	RefSeq	GCF_014107475.1-RS_2024_04_27	Chromosome	919978	1185354	2020-08-07	1136	PRJNA603900	SAMN13944158
Candidatus Wolbachia massiliensis		isolate: PL13	1845000	ASM1477164v1	GCF_014771645.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Chromosome	50110	1291339	2020-09-28	1244	PRJNA663644	SAMN16175503
Wolbachia endosymbiont of Drosophila melanogaster		isolate: wMel	163164	ASM1658442v1	GCF_016584425.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1267783	1267783	2021-01-08	1313	PRJNA587443	SAMN13190960
Wolbachia endosymbiont of Ceratosolen solmsi		isolate: MIAOwCsol	497299	ASM1786915v1	GCF_017869155.1	RefSeq	GCF_017869155.1-RS_2024_03_28	Chromosome	355145	1206967	2021-04-08	1200	PRJNA637982	SAMN15163175
