#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
NC_002978.6	1	1267782	2	43	0.00339175	6.7835e-05	36	0
NC_006833.1	1	1080084	10	264	0.0244425	0.000521256	36.3	0.4
NC_012416.1	1	1445873	2	43	0.00297398	5.74048e-05	35.9	0
NC_010981.1	1	1482455	2	43	0.00290059	5.80119e-05	35.5	0
NC_018267.1	1	957990	10	577	0.0602303	0.000793328	36.6	4.6
NC_021089.1	1	1295804	2	43	0.0033184	6.63681e-05	35.3	0
NZ_HG810405.1	1	960618	155	468	0.0487186	0.00585665	35.3	12.6
NZ_AP013028.1	1	1250060	8	43	0.00343983	0.000274387	35.7	0
NZ_CM003641.1	1	1133809	4	43	0.00379253	0.000151701	36.4	0
NZ_CP031221.1	1	1484007	4	43	0.00289756	0.000115902	36.1	0
NZ_CP037426.1	1	1352354	4	43	0.00317964	0.000127186	36.1	0
NC_021084.1	1	1301823	0	0	0	0	0	0
